implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,Column1,cv_macro_recall_mean,Column2,cv_macro_sensitivity_mean,Column3,cv_macro_roc_auc_mean,Column4,cv_cross_entropy_mean,Column5,cv_brier_mean,Column6,cv_ece_mean,Column7,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,wine,13,distance,manhattan,0.003001213,0.018706083,0,0.00399971,0,0.966166156,,0.971212121,,0.971212121,,1,,0.100811011,,0.056978201,,0.068398267,,0.974320988,0.976190476,0.976190476,1,0.09034181,0.043482479,0.074914925
sklearn,wine,15,uniform,euclidean,0.003001213,0.024552584,0,0.005012035,0,0.952011401,,0.959090909,,0.959090909,,0.999168152,,0.130434989,,0.074325123,,0.070640394,,1,1,1,1,0.10583518,0.055061728,0.087037037
sklearn,wine,15,uniform,manhattan,0.003001213,0.024043083,0.00100112,0.004519701,0,0.952844975,,0.95959596,,0.95959596,,0.999448562,,0.117157331,,0.064827586,,0.058456486,,0.974320988,0.976190476,0.976190476,1,0.111821444,0.059753086,0.088888889
sklearn,wine,15,distance,euclidean,0.003001213,0.019039631,0.001000643,0.002998829,0,0.952011401,,0.959090909,,0.959090909,,0.999346405,,0.126937659,,0.072590779,,0.077484516,,1,1,1,1,0.100824966,0.051391984,0.083427939
sklearn,wine,15,distance,manhattan,0.003001213,0.019047737,0,0.003510952,0,0.952588205,,0.95959596,,0.95959596,,1,,0.111881127,,0.062002882,,0.05482641,,0.974320988,0.976190476,0.976190476,1,0.103917318,0.054096141,0.083773734
sklearn,wine,17,uniform,euclidean,0.003001213,0.027531862,0.000998974,0.00763607,0,0.958694776,,0.965151515,,0.965151515,,0.999346405,,0.136171694,,0.07449844,,0.066966097,,1,1,1,1,0.11449331,0.057670127,0.094771242
sklearn,wine,17,uniform,manhattan,0.003001213,0.02816081,0.001015902,0.00458765,0,0.951247727,,0.959090909,,0.959090909,,0.998897124,,0.124953899,,0.067789388,,0.072167488,,0.974320988,0.976190476,0.976190476,1,0.111536621,0.055940023,0.091503268
sklearn,wine,17,distance,euclidean,0.003001213,0.018879175,0.001589298,0.003104925,0,0.958694776,,0.965151515,,0.965151515,,0.999346405,,0.131764292,,0.07250287,,0.063178084,,1,1,1,1,0.108452911,0.053351593,0.090406372
sklearn,wine,17,distance,manhattan,0.003001213,0.019384861,0.001004696,0.002995729,0,0.951247727,,0.959090909,,0.959090909,,0.998897124,,0.118881353,,0.064629227,,0.071442375,,0.974320988,0.976190476,0.976190476,1,0.104720382,0.051329339,0.086559932
sklearn,wine,19,uniform,euclidean,0.003001213,0.025595188,0,0.005002737,0,0.97223931,,0.976767677,,0.976767677,,0.999836601,,0.143927862,,0.07596987,,0.087982888,,1,1,1,1,0.128974728,0.064327485,0.106725146
sklearn,wine,19,uniform,manhattan,0.003001213,0.025117397,0,0.005008698,0,0.958142303,,0.964646465,,0.964646465,,0.998718871,,0.129251074,,0.067830193,,0.074993518,,0.974320988,0.976190476,0.976190476,1,0.121164009,0.061403509,0.076023392
sklearn,wine,19,distance,euclidean,0.003001213,0.019248724,0,0.003635168,0,0.965344734,,0.971212121,,0.971212121,,1,,0.138034314,,0.073317579,,0.08163022,,1,1,1,1,0.121338036,0.059251881,0.101046201
sklearn,wine,19,distance,manhattan,0.003001213,0.017777205,0.001597404,0.004108906,0,0.951247727,,0.959090909,,0.959090909,,0.998897124,,0.122542607,,0.064554883,,0.072470733,,0.974320988,0.976190476,0.976190476,1,0.113472866,0.056162793,0.069876586
sklearn,wine,21,uniform,euclidean,0.003001213,0.024416208,0,0.007168293,0,0.964825678,,0.970707071,,0.970707071,,0.999836601,,0.150783066,,0.078799861,,0.089397138,,1,1,1,1,0.144809789,0.071554548,0.12037037
sklearn,wine,21,uniform,manhattan,0.003001213,0.025837898,0.000998259,0.005001068,0,0.965193247,,0.97020202,,0.97020202,,0.998362365,,0.136578281,,0.070384147,,0.08396669,,0.974320988,0.976190476,0.976190476,1,0.127683916,0.065255732,0.078042328
sklearn,wine,21,distance,euclidean,0.003001213,0.025105953,0.001001596,0.002998829,0,0.957931102,,0.965151515,,0.965151515,,1,,0.14396592,,0.075558689,,0.082056742,,1,1,1,1,0.134944346,0.065010589,0.11289313
sklearn,wine,21,distance,manhattan,0.003001213,0.019040585,0.001002073,0.003000259,0,0.965193247,,0.97020202,,0.97020202,,0.998897124,,0.128681995,,0.066439222,,0.074468395,,0.974320988,0.976190476,0.976190476,1,0.11940549,0.059593351,0.071804504
sklearn,digits,3,uniform,euclidean,0.013032436,0.349017143,0.000999689,0.030180216,0.078125,0.976169577,,0.976374202,,0.976374202,,0.995598635,,0.25363788,,0.041596765,,0.017154633,,0.966304009,0.966424281,0.966424281,0.990718975,0.493469019,0.051851852,0.016666667
sklearn,digits,3,uniform,manhattan,0.013032436,0.235985756,0.001000404,0.054044485,0,0.974116533,,0.974254151,,0.974254151,,0.994868131,,0.289115575,,0.042828107,,0.016473093,,0.982901857,0.983015873,0.983015873,0.993529636,0.337565996,0.040123457,0.027777778
sklearn,digits,3,distance,euclidean,0.013032436,0.067784309,0,0.013461828,0,0.976149992,,0.976421821,,0.976421821,,0.995638405,,0.252400736,,0.040616469,,0.018308868,,0.966265464,0.966424281,0.966424281,0.990709755,0.493000144,0.051252133,0.01982928
sklearn,digits,3,distance,manhattan,0.013032436,0.144225359,0.001000881,0.039629698,0,0.974783314,,0.974920817,,0.974920817,,0.994904329,,0.28709881,,0.041068653,,0.019196991,,0.983152396,0.983095238,0.983095238,0.993473364,0.336466206,0.039170778,0.028712173
sklearn,digits,5,uniform,euclidean,0.013032436,0.113959312,0.000999928,0.024555445,0.00390625,0.97626663,,0.97630031,,0.97630031,,0.997064441,,0.198685999,,0.045315137,,0.023928087,,0.963439973,0.963721579,0.963721579,0.995028217,0.283231504,0.048,0.027222222
sklearn,digits,5,uniform,manhattan,0.013032436,0.265644073,0,0.053956509,0,0.969873784,,0.969940339,,0.969940339,,0.996330318,,0.237656404,,0.048818235,,0.02449429,,0.988744074,0.988650794,0.988650794,0.995090864,0.274120782,0.039111111,0.038333333
sklearn,digits,5,distance,euclidean,0.013032436,0.068276167,0.001008749,0.014530897,0,0.977641771,,0.977728882,,0.977728882,,0.997198914,,0.195957544,,0.043312734,,0.02839677,,0.966142675,0.966424281,0.966424281,0.995006354,0.282577657,0.047333966,0.026812452
sklearn,digits,5,distance,manhattan,0.013032436,0.144964933,0.001001358,0.03623867,0.00390625,0.969184688,,0.969299945,,0.969299945,,0.996415017,,0.233378883,,0.045812052,,0.032030728,,0.988744074,0.988650794,0.988650794,0.995065143,0.27253003,0.037995813,0.036945882
sklearn,digits,7,uniform,euclidean,0.013032436,0.115657568,0,0.024038076,0.00390625,0.973439537,,0.973492246,,0.973492246,,0.998394563,,0.14642813,,0.052060667,,0.033792379,,0.966487822,0.966499356,0.966499356,0.996407758,0.227953747,0.052947846,0.021825397
sklearn,digits,7,uniform,manhattan,0.013032436,0.214359045,0.001019716,0.050298452,0.00390625,0.965775361,,0.965703704,,0.965703704,,0.997289741,,0.201109607,,0.054757559,,0.026739741,,0.977479245,0.977456027,0.977456027,0.994978097,0.287700152,0.046371882,0.03531746
sklearn,digits,7,distance,euclidean,0.013032436,0.077195883,0.001004696,0.015072823,0.06640625,0.97342538,,0.973467615,,0.973467615,,0.998536288,,0.141723899,,0.048908409,,0.033525044,,0.966524309,0.966499356,0.966499356,0.996437977,0.225575757,0.051302686,0.022553228
sklearn,digits,7,distance,manhattan,0.013032436,0.153396368,0.001005888,0.037609577,0.00390625,0.967810976,,0.967873016,,0.967873016,,0.997449132,,0.195262063,,0.050803719,,0.026545512,,0.977479245,0.977456027,0.977456027,0.994973598,0.284692742,0.044282749,0.032952514
sklearn,digits,9,uniform,euclidean,0.013032436,0.122514963,0.001006365,0.028641939,0.00390625,0.969925888,,0.969943623,,0.969943623,,0.99827254,,0.163092709,,0.058516571,,0.042062148,,0.963625771,0.963642214,0.963642214,0.996423713,0.241488741,0.057064472,0.038271605
sklearn,digits,9,uniform,manhattan,0.013032436,0.235993624,0,0.051346302,0.00390625,0.962249327,,0.962183178,,0.962183178,,0.998001491,,0.176784098,,0.057950249,,0.033632834,,0.96878751,0.968963964,0.968963964,0.996383159,0.234074662,0.054938272,0.033641975
